hdb,latitude,longitude
24 NEW UPP CHANGI RD SINGAPORE,1.32386400383727,103.933398625079
210 NEW UPP CHANGI RD SINGAPORE,1.32481816551889,103.930544296289
35 BEDOK STH AVE 2 SINGAPORE,1.32234775413853,103.945858384014
37 BEDOK STH AVE 2 SINGAPORE,1.32234775413853,103.945858384014
7 BEDOK STH AVE 2 SINGAPORE,1.32281544267372,103.93545524391
6 BEDOK STH AVE 2 SINGAPORE,1.32221710776614,103.934991224907
44 BEDOK STH RD SINGAPORE,1.31789091823444,103.946338598685
52 NEW UPP CHANGI RD SINGAPORE,1.32390387200176,103.942511366491
51 NEW UPP CHANGI RD SINGAPORE,1.32342985805207,103.942269407116
717 BEDOK RESERVOIR RD SINGAPORE,1.33755208890136,103.925449316134
718 BEDOK RESERVOIR RD SINGAPORE,1.3366305993765,103.92574851611
723 BEDOK RESERVOIR RD SINGAPORE,1.33641984694912,103.92483267275
125 BEDOK RESERVOIR RD SINGAPORE,1.33641984694912,103.92483267275
132 BEDOK RESERVOIR RD SINGAPORE,1.33641984694912,103.92483267275
110 LENGKONG TIGA SINGAPORE,1.32391756410928,103.912716108657
109 LENGKONG TIGA SINGAPORE,1.32391756410928,103.912716108657
512 BEDOK NTH AVE 2 SINGAPORE,1.3305534143043,103.930556186265
517 BEDOK NTH AVE 2 SINGAPORE,1.3305534143043,103.930556186265
408 BEDOK NTH AVE 2 SINGAPORE,1.32852320209845,103.932856033158
411 BEDOK NTH AVE 2 SINGAPORE,1.32830977781597,103.931761785189
133 BEDOK NTH AVE 3 SINGAPORE,1.32756257230307,103.93573462699
507 BEDOK NTH AVE 3 SINGAPORE,1.33675047903361,103.93336076202
404 BEDOK NTH AVE 3 SINGAPORE,1.33675047903361,103.93336076202
103 BEDOK NTH AVE 4 SINGAPORE,1.33502410235851,103.943523990253
100 BEDOK NTH AVE 4 SINGAPORE,1.33502410235851,103.943523990253
82 BEDOK NTH RD SINGAPORE,1.32953680475668,103.940406562732
78 BEDOK NTH RD SINGAPORE,1.32726007220341,103.940848770214
81 BEDOK NTH RD SINGAPORE,1.32891558225172,103.940528728774
124 BEDOK NTH RD SINGAPORE,1.32925881944574,103.939046430321
121 BEDOK NTH RD SINGAPORE,1.32964201790706,103.938821071117
421 BEDOK NTH RD SINGAPORE,1.33474211664091,103.91797832995
707 BEDOK NTH RD SINGAPORE,1.33474211664091,103.91797832995
135 BEDOK NTH ST 2 SINGAPORE,1.32873535148094,103.936506738278
132 BEDOK NTH ST 2 SINGAPORE,1.32775288998395,103.936709340476
527 BEDOK NTH ST 3 SINGAPORE,1.33391149180203,103.928158574193
528 BEDOK NTH ST 3 SINGAPORE,1.33490287587397,103.927838167286
547 BEDOK NTH ST 3 SINGAPORE,1.33033113628205,103.925432072872
623 BEDOK RESERVOIR RD SINGAPORE,1.33641984694912,103.92483267275
43 CHAI CHEE ST SINGAPORE,1.32861957588571,103.924497070108
52 CHAI CHEE ST SINGAPORE,1.32861957588571,103.924497070108
63 NEW UPP CHANGI RD SINGAPORE,1.32378410132248,103.939938951727
62 NEW UPP CHANGI RD SINGAPORE,1.32332667400534,103.940030188552
128 BEDOK RESERVOIR RD SINGAPORE,1.33641984694912,103.92483267275
149 BEDOK RESERVOIR RD SINGAPORE,1.33641984694912,103.92483267275
133 BEDOK RESERVOIR RD SINGAPORE,1.33641984694912,103.92483267275
134 BEDOK RESERVOIR RD SINGAPORE,1.33641984694912,103.92483267275
165 BEDOK STH RD SINGAPORE,1.31789091823444,103.946338598685
170 BEDOK STH RD SINGAPORE,1.31789091823444,103.946338598685
